

############################ Log - Start ############################
# Log initialized at: 10/21/13 16:48:19
Time	Real temperature	Average temperature	Setpoint temperature
4.327	20.100	20.050	20.000
5.361	20.200	20.067	20.000
6.483	20.100	20.073	20.000
7.535	19.900	20.046	20.000
8.615	20.000	20.040	20.000
9.647	20.100	20.047	20.000
10.728	20.100	20.050	20.000
11.901	19.900	20.040	20.000
12.947	20.000	20.032	20.000
14.041	20.000	20.029	20.000
15.081	19.900	20.019	20.000
16.119	20.000	20.018	20.000
17.189	20.000	20.017	20.000
18.255	20.000	20.016	20.000
19.375	19.900	20.009	20.000

############################ Log - Start ############################
# Log initialized at: 10/21/13 18:03:24
Time	Real temperature	Average temperature	Setpoint temperature
0.000	19.900	19.900	20.000
1.138	19.900	19.900	20.000
2.240	19.800	19.875	20.000
3.339	19.800	19.833	20.000
4.371	20.000	19.863	20.000

############################ Log - Start ############################
# Log initialized at: 10/21/13 18:05:45
Time	Real temperature	Average temperature	Setpoint temperature
0.000	19.900	19.900	20.000
1.153	19.900	19.900	20.000
2.279	19.900	19.900	20.000
3.359	20.000	19.933	20.000
4.391	19.900	19.925	20.000
5.517	20.000	19.930	20.000
6.550	20.000	19.942	20.000
7.680	19.900	19.936	20.000
8.750	19.900	19.933	20.000
9.848	19.800	19.918	20.000
10.976	19.900	19.916	20.000
12.020	19.900	19.914	20.000
13.118	19.900	19.913	20.000
14.149	20.100	19.924	20.000
15.275	20.100	19.933	20.000
16.359	20.000	19.936	20.000
17.451	20.000	19.940	20.000
18.609	20.000	19.941	20.000
19.639	19.900	19.944	20.000
20.753	20.000	19.947	20.000
21.798	20.000	19.949	20.000
22.921	20.100	19.956	20.000

############################ Log - Start ############################
# Log initialized at: 10/21/13 18:12:38
Time	Real temperature	Average temperature	Setpoint temperature
0.000	19.900	19.900	20.000
1.137	19.900	19.900	20.000
2.185	19.800	19.850	20.000
3.224	19.700	19.800	20.000
4.279	19.900	19.825	20.000
5.310	20.000	19.850	20.000

# Log finished at: 10/21/13 18:12:45
############################ Log - End ############################

############################ Log - Start ############################
# Log initialized at: 10/21/13 18:12:51
Time	Real temperature	Average temperature	Setpoint temperature
0.000	20.200	20.200	20.000
1.095	20.100	20.150	20.000
2.159	20.300	20.200	20.000
3.191	20.300	20.233	20.000
4.243	20.200	20.225	20.000
5.313	20.400	20.250	20.000
6.397	20.500	20.273	20.000
7.484	20.300	20.285	20.000

# Log finished at: 10/21/13 18:12:59
############################ Log - End ############################

############################ Log - Start ############################
# Log initialized at: 10/21/13 18:13:01
Time	Real temperature	Average temperature	Setpoint temperature
0.000	20.100	20.100	20.000
1.230	20.200	20.133	20.000
2.268	20.100	20.125	20.000
3.313	20.100	20.133	20.000
4.383	20.300	20.163	20.000
5.415	20.100	20.150	20.000
6.537	19.900	20.117	20.000
7.662	20.000	20.093	20.000
8.715	20.100	20.088	20.000
9.754	20.000	20.082	20.000
10.876	20.100	20.084	20.000
11.971	20.100	20.086	20.000
13.037	20.100	20.091	20.000
14.069	20.000	20.084	20.000
15.177	20.000	20.074	20.000
16.306	20.000	20.066	20.000
17.346	20.000	20.061	20.000
18.385	20.000	20.059	20.000
19.455	20.000	20.056	20.000
20.530	20.000	20.053	20.000
21.561	20.000	20.053	20.000
22.682	20.000	20.050	20.000
23.753	19.900	20.045	20.000
24.785	20.000	20.044	20.000
25.888	20.000	20.042	20.000
26.930	19.900	20.036	20.000

# Log finished at: 10/21/13 18:13:29
############################ Log - End ############################

############################ Log - Start ############################
# Log initialized at: 10/21/13 18:14:01
Time	Real temperature	Average temperature	Setpoint temperature
0.000	20.300	20.300	30.000
1.169	20.400	20.350	30.000
2.251	20.400	20.350	30.000
3.334	20.400	20.367	30.000
4.365	20.400	20.375	30.000
5.441	20.800	20.430	30.000
6.541	21.900	20.617	30.000
7.573	22.800	20.785	30.000
8.666	25.100	21.287	30.000
9.759	27.700	21.971	30.000
10.792	29.700	22.737	30.000
11.876	30.900	23.490	30.000
12.920	31.400	24.170	30.000
14.010	31.300	24.744	30.000
15.042	31.100	24.988	30.000

############################ Log - Start ############################
# Log initialized at: 10/21/13 18:15:25
Time	Real temperature	Average temperature	Setpoint temperature
0.000	23.800	23.800	20.000
1.109	23.500	23.600	20.000
2.141	23.500	23.525	20.000
3.239	23.600	23.533	20.000

############################ Log - Start ############################
# Log initialized at: 10/21/13 18:17:32
Time	Real temperature	Average temperature	Setpoint temperature
0.000	21.000	21.000	20.000
1.089	21.100	21.050	20.000
2.136	21.100	21.050	20.000

# Log finished at: 10/21/13 18:17:36
############################ Log - End ############################

############################ Log - Start ############################
